"NGC",1952
"NGC",7089
"NGC",5272
"NGC",6121
"NGC",5904
"NGC",6405
"NGC",6475
"NGC",6523
"NGC",6333
"NGC",6254
"NGC",6705
"NGC",6218
"NGC",6205
"NGC",6402
"NGC",7078
"NGC",6611
"NGC",6618
"NGC",6613
"NGC",6273
"NGC",6514
"NGC",6531
"NGC",6656
"NGC",6494
"NGC",6603
"IC",4725
"NGC",6694
"NGC",6853
"NGC",6626
"NGC",6913
"NGC",7099
"NGC",224
"NGC",221
"NGC",598
"NGC",1039
"NGC",2168
"NGC",1960
"NGC",2099
"NGC",1912
"NGC",7092
"NGC",
"NGC",2287
"NGC",1976
"NGC",1982
"NGC",2632
"NGC",
"NGC",2437
"NGC",2422
"NGC",2548
"NGC",4472
"NGC",2323
"NGC",5194
"NGC",7654
"NGC",5024
"NGC",6715
"NGC",6809
"NGC",6779
"NGC",6720
"NGC",4579
"NGC",4621
"NGC",4649
"NGC",4303
"NGC",6266
"NGC",5055
"NGC",4826
"NGC",3623
"NGC",3627
"NGC",2682
"NGC",4590
"NGC",6637
"NGC",6681
"NGC",6838
"NGC",6981
"NGC",6994
"NGC",628
"NGC",6864
"NGC",650
"NGC",1068
"NGC",2068
"NGC",1904
"NGC",6093
"NGC",3031
"NGC",3034
"NGC",5236
"NGC",4374
"NGC",4382
"NGC",4406
"NGC",4486
"NGC",4501
"NGC",4552
"NGC",4569
"NGC",4548
"NGC",6341
"NGC",2447
"NGC",4736
"NGC",3351
"NGC",3368
"NGC",3587
"NGC",4192
"NGC",4254
"NGC",4321
"NGC",5457
"NGC",5457
"NGC",581
"NGC",4594
"NGC",3379
"NGC",4258
"NGC",6171
"NGC",3556
"NGC",3992
"NGC",205
"NGC",
